head,relation,tail
未来的主人翁,包含意象,"['水银灯', '红绿灯', '电脑儿童', '钥匙儿童', '红色的污泥']"
未来的主人翁,核心情感,"['批判性忧虑', '深沉期许']"
未来的主人翁,风格标签,"['排比呼告', '象征隐喻', '社会寓言']"
未来的主人翁,歌曲主题,['社会关切']
罗大佑,演唱,未来的主人翁
爱人同志,包含意象,"['口号', '血汗', '眼泪', '身躯', '脸']"
爱人同志,核心情感,"['悲壮', '迷失与坚定']"
爱人同志,风格标签,"['政论隐喻', '口号式呼告']"
爱人同志,歌曲主题,['爱情']
罗大佑,演唱,爱人同志
青春舞曲,包含意象,"['太阳', '花儿', '小鸟', '黄花岗']"
青春舞曲,核心情感,"['青春易逝', '历史之重']"
青春舞曲,风格标签,"['民谣复沓', '咏物喻理']"
青春舞曲,歌曲主题,['时间']
罗大佑,演唱,青春舞曲
有你听我的故事,包含意象,[]
有你听我的故事,核心情感,['宁静共鸣']
有你听我的故事,风格标签,['重复哲思']
有你听我的故事,歌曲主题,['交流']
林家谦,演唱,有你听我的故事
怪我只做好人,包含意象,"['塑胶的复制人', '赤子心', '存货']"
怪我只做好人,核心情感,"['道德焦虑', '内省挣扎']"
怪我只做好人,风格标签,"['内省独白', '思辨风格', '社会隐喻']"
怪我只做好人,歌曲主题,['内心冲突']
林家谦,演唱,怪我只做好人
万一你是个好人,包含意象,[]
万一你是个好人,核心情感,['谨慎疏离']
万一你是个好人,风格标签,['重复结构']
万一你是个好人,歌曲主题,['爱情']
林家谦,演唱,万一你是个好人
某种老朋友,包含意象,"['鲸鱼', '一叶舟', '枯叶']"
某种老朋友,核心情感,"['怀旧释然', '无奈接受', '淡然感伤']"
某种老朋友,风格标签,"['比喻象征', '哲理思辨', '含蓄凝练']"
某种老朋友,歌曲主题,['人际关系']
林家谦,演唱,某种老朋友
小林不动产,包含意象,"['魔药', '解药']"
小林不动产,核心情感,"['疏离淡泊', '恬然自适']"
小林不动产,风格标签,"['口语入词', '生活流白描']"
小林不动产,歌曲主题,['生活态度']
林家谦,演唱,小林不动产
狂迪,包含意象,"['小火锅', '星光', '月亮', '公园的落叶', '海洋', '天堂', '教堂']"
狂迪,核心情感,"['迷醉', '执着']"
狂迪,风格标签,"['口语化叙述', '中西混用']"
狂迪,歌曲主题,['爱情']
卢广仲,演唱,狂迪
励志论,包含意象,"['红地毡', '花衬衫', '狗吃屎']"
励志论,核心情感,"['苦中作乐', '反讽自嘲', '戏谑抗争']"
励志论,风格标签,"['口语叙事', '意象反讽', '重复强化']"
励志论,歌曲主题,['人生哲学']
卢广仲,演唱,励志论
雨时多云偶阵晴,包含意象,[]
雨时多云偶阵晴,核心情感,"['忧郁无奈', '隐忍陪伴']"
雨时多云偶阵晴,风格标签,"['气象隐喻', '内心独白']"
雨时多云偶阵晴,歌曲主题,['爱情']
卢广仲,演唱,雨时多云偶阵晴
我爱你,包含意象,"['太阳公公', '白卷']"
我爱你,核心情感,"['焦虑的执着', '笨拙的告白', '神经质的甜']"
我爱你,风格标签,"['口语重复', '生活化比喻', '口语化叙事']"
我爱你,歌曲主题,['爱情']
卢广仲,演唱,我爱你
都会爱情三角习题,包含意象,[]
都会爱情三角习题,核心情感,"['疏离矛盾', '理性挣扎']"
都会爱情三角习题,风格标签,"['抽象隐喻', '思辨叙事']"
都会爱情三角习题,歌曲主题,['爱情']
HUSH,演唱,都会爱情三角习题
流明,包含意象,[]
流明,核心情感,"['温柔挽留', '静谧守望']"
流明,风格标签,"['诗意意象', '通感手法']"
流明,歌曲主题,['内省']
HUSH,演唱,流明
永恒,包含意象,"['飞蛾', '蛇', '度量衡', '突触', '长河', '嘴唇']"
永恒,核心情感,"['困顿', '循环', '执迷', '空寂']"
永恒,风格标签,"['理科诗意', '神话隐喻', '结构复沓']"
永恒,歌曲主题,['爱情']
HUSH,演唱,永恒
娱乐自己,包含意象,"['除湿机', '遥控器', '窗户上雾气', '隧道', '早班飞机', '东京米兰纽约巴黎', '沙漠里的尖刺', '床']"
娱乐自己,核心情感,"['耽溺', '孤寂', '虚妄的沉溺']"
娱乐自己,风格标签,"['私密叙事', '感官意象', '都市孤独']"
娱乐自己,歌曲主题,['内心独白']
HUSH,演唱,娱乐自己
成人,包含意象,"['头发', '指甲']"
成人,核心情感,"['内在冲突', '自我允许']"
成人,风格标签,"['对立排比', '具象隐喻', '内省独白']"
成人,歌曲主题,['成长']
HUSH,演唱,成人
寄居蟹与蜗牛,包含意象,"['蜗牛', '寄居蟹', '高楼', '窗框', '枷锁', '壳', '海岸线', '沙']"
寄居蟹与蜗牛,核心情感,"['疏离负重', '漂泊释然']"
寄居蟹与蜗牛,风格标签,"['隐喻贯穿', '意象叙事']"
寄居蟹与蜗牛,歌曲主题,['人际寓言']
HUSH,演唱,寄居蟹与蜗牛
衣柜歌手,包含意象,"['衣裳', '安全网']"
衣柜歌手,核心情感,"['私密自省', '克制释然']"
衣柜歌手,风格标签,"['日常叙事', '内心独白']"
衣柜歌手,歌曲主题,['自我追寻']
HUSH,演唱,衣柜歌手
换句话说,包含意象,"['唇齿', '瞳孔', '烟火', '金口', '字典']"
换句话说,核心情感,"['疏离感', '虚无感', '辩证性']"
换句话说,风格标签,"['反讽', '思辨', '冷峻肌理']"
换句话说,歌曲主题,['语言哲学']
HUSH,演唱,换句话说
求生之年,包含意象,"['警报', '缘分', '誓言']"
求生之年,核心情感,['紧绷的认命']
求生之年,风格标签,"['矛盾修辞', '抽象具象化', '内心独白']"
求生之年,歌曲主题,['自我坚持']
HUSH,演唱,求生之年
天文特征,包含意象,['流星雨']
天文特征,核心情感,"['怅惘', '执念', '宿命感']"
天文特征,风格标签,"['复沓', '意象叙事', '克制的抒情']"
天文特征,歌曲主题,['爱情']
HUSH,演唱,天文特征
都是你害的,包含意象,"['眼镜', '铅笔']"
都是你害的,核心情感,"['单向沉溺', '自我消耗']"
都是你害的,风格标签,"['设问铺陈', '直白比喻']"
都是你害的,歌曲主题,['爱情']
HUSH,演唱,都是你害的
No More Monday Blues,包含意象,"['太阳蛋', '蛋炒饭']"
No More Monday Blues,核心情感,['欢欣']
No More Monday Blues,风格标签,"['口语叙事', '直接抒情', '副歌重复']"
No More Monday Blues,歌曲主题,['爱情']
马念先,演唱,No More Monday Blues
苹果人民共和国,包含意象,"['iPhone', 'MacBook Pro', '贾伯斯', 'app store', 'bit coin', 'TikTok', '东厂锦衣卫', 'iPad', 'iPod', '雷射枪', 'Facebook', '金字塔', '法老王', '秦始皇', '神坛', '麦金塔']"
苹果人民共和国,核心情感,"['狂热崇拜', '戏谑反讽', '技术自豪']"
苹果人民共和国,风格标签,"['品牌叙事', '科技隐喻', '戏仿政治']"
苹果人民共和国,歌曲主题,['科技文化']
马念先,演唱,苹果人民共和国
爱我请保持沉默,包含意象,[]
爱我请保持沉默,核心情感,"['隐忍的遗憾', '克制的疏离']"
爱我请保持沉默,风格标签,"['排比铺陈', '直白反复']"
爱我请保持沉默,歌曲主题,['爱情']
马念先,演唱,爱我请保持沉默
Mr. and Mrs. Hello,包含意象,"['电梯', '狗', '墨镜', '酒']"
Mr. and Mrs. Hello,核心情感,"['疏离感', '窥探欲']"
Mr. and Mrs. Hello,风格标签,"['第一人称叙事', '都市生活白描']"
Mr. and Mrs. Hello,歌曲主题,['都市生活']
马念先,演唱,Mr. and Mrs. Hello
1989的下午,包含意象,"['大垫肩的西装', '破牛仔裤', '长筒爱迪达', '胡渣', '漂浮冰咖啡', '黑板', '符咒', '蓝色啤酒海', '大白鲨', '布鲁克雪德丝', '鳕鱼香丝', '蓝色珊瑚礁']"
1989的下午,核心情感,"['怀旧', '慵懒', '梦幻']"
1989的下午,风格标签,"['具象叙事', '时代指涉']"
1989的下午,歌曲主题,['怀旧']
马念先,演唱,1989的下午
再见台北,包含意象,"['浊水溪', '便当', '咖啡']"
再见台北,核心情感,"['无奈告别', '苦涩怀旧']"
再见台北,风格标签,"['口语叙事', '地域写实']"
再见台北,歌曲主题,['城市告别']
马念先,演唱,再见台北
不是坏蛋,包含意象,"['散养的', '走地鸡', '蛋黄']"
不是坏蛋,核心情感,['戏谑自辩']
不是坏蛋,风格标签,"['口语重复', '具象比喻']"
不是坏蛋,歌曲主题,['自我认同']
陈珊妮,演唱,不是坏蛋
Shut Up!,包含意象,"['星星', '哥德', '洛可可']"
Shut Up!,核心情感,['倦怠淡漠']
Shut Up!,风格标签,['超现实讽喻']
Shut Up!,歌曲主题,['情感宣泄']
陈珊妮,演唱,Shut Up!
这也是没有办法的事,包含意象,"['辗转相除法', '最大公约数']"
这也是没有办法的事,核心情感,"['冷峻的批判', '无奈的接受', '理性的疏离']"
这也是没有办法的事,风格标签,"['数理意象', '重复强化', '社会讽喻']"
这也是没有办法的事,歌曲主题,['社会批判']
陈珊妮,演唱,这也是没有办法的事
你是我的酒,包含意象,"['酒', '眼神', '借口', '笑容']"
你是我的酒,核心情感,"['沉溺', '矛盾', '祈求']"
你是我的酒,风格标签,"['对话体', '隐喻贯穿', '强弱势交替']"
你是我的酒,歌曲主题,['爱情']
陈珊妮,演唱,你是我的酒
礼物,包含意象,"['寓言', '偏见', '超人', '装备']"
礼物,核心情感,"['感念怀旧', '偏执温情', '复杂感恩']"
礼物,风格标签,"['私人化叙事', '俏皮任性', '新词巧构']"
礼物,歌曲主题,['感恩']
陈珊妮,演唱,礼物
空废,包含意象,[]
空废,核心情感,"['虚无', '疏离']"
空废,风格标签,['抽象思辨']
空废,歌曲主题,['虚无']
陈珊妮,演唱,空废
如果有一件事是重要的,包含意象,[]
如果有一件事是重要的,核心情感,"['思辨', '内省']"
如果有一件事是重要的,风格标签,"['哲理思辨', '结构回环']"
如果有一件事是重要的,歌曲主题,['人生思考']
陈珊妮,演唱,如果有一件事是重要的
确幸,包含意象,"['窗帘', '翅膀', '窗', '床', '繁花']"
确幸,核心情感,"['冷峻自持', '矛盾交织']"
确幸,风格标签,"['冷冽意象', '反讽笔触', '互文指涉']"
确幸,歌曲主题,['爱情']
陈珊妮,演唱,确幸
完美,包含意象,[]
完美,核心情感,['自我质疑']
完美,风格标签,"['重复结构', '对话体']"
完美,歌曲主题,['爱情']
陈珊妮,演唱,完美
捆缚,包含意象,"['挽具', '玩具']"
捆缚,核心情感,"['疏离审视', '冷峻内省']"
捆缚,风格标签,"['哲学引用', 'BDSM意象', '结构回环']"
捆缚,歌曲主题,['心理探索']
陈珊妮,演唱,捆缚
两人关系,包含意象,['眼神']
两人关系,核心情感,"['亲密异化', '自省疏离']"
两人关系,风格标签,"['自白式剖析', '冷冽观察']"
两人关系,歌曲主题,['爱情']
陈珊妮,演唱,两人关系
三天两夜,包含意象,"['伤心酒店', '奇异恩典']"
三天两夜,核心情感,"['短暂沉溺', '永恒向往']"
三天两夜,风格标签,['诗意超现实']
三天两夜,歌曲主题,['爱情']
陈珊妮,演唱,三天两夜
Christine,包含意象,[]
Christine,核心情感,"['矛盾占有', '悲伤沉溺']"
Christine,风格标签,"['隐喻写作', '意象化表达']"
Christine,歌曲主题,['占有欲']
陈珊妮,演唱,Christine
等待,包含意象,[]
等待,核心情感,"['审慎', '隐忍']"
等待,风格标签,['极简笔触']
等待,歌曲主题,['爱情']
陈珊妮,演唱,等待
乘喷射机离去,包含意象,"['餐巾', '船只', '鼓锤', '蜻蜓', '邮票', '盖子', '睡袋', '书包', '诗集', '登山鞋', '望远镜', '潜水艇', '西瓜渍', '砲弹']"
乘喷射机离去,核心情感,"['疏离感', '存在困惑', '无望中有转变']"
乘喷射机离去,风格标签,"['超现实主义', '冷峻诗意', '实验性']"
乘喷射机离去,歌曲主题,['人际关系']
陈珊妮,演唱,乘喷射机离去
呕吐,包含意象,"['绿西装', '高丽菜叶', '白衬衫', '白米饭', '巧克力颜色的汤汤水水', '胃酸', '鸡蛋', '鼻涕', '眼泪', '点滴']"
呕吐,核心情感,"['生理厌恶', '情感反刍']"
呕吐,风格标签,"['超现实具象', '日常物隐喻']"
呕吐,歌曲主题,['失恋反应']
陈珊妮,演唱,呕吐
游戏,包含意象,"['蒲公英', '烟花', '静电', '雪原', '休息站', '火锅味']"
游戏,核心情感,"['眷恋珍惜', '细微怀念']"
游戏,风格标签,"['具象诗化', '絮语重复', '季节叙事']"
游戏,歌曲主题,['陪伴']
陈珊妮,演唱,游戏
找一双鞋,包含意象,"['直筒牛仔裤', '鞋']"
找一双鞋,核心情感,"['疏离', '无奈']"
找一双鞋,风格标签,"['口语叙事', '结构重复']"
找一双鞋,歌曲主题,['人际关系']
陈珊妮,演唱,找一双鞋
漫天纷飞的银杏森林,包含意象,"['月光银杏叶', '翅翼']"
漫天纷飞的银杏森林,核心情感,"['寂寥', '倦怠']"
漫天纷飞的银杏森林,风格标签,['诗意隐喻']
漫天纷飞的银杏森林,歌曲主题,['成长']
陈珊妮,演唱,漫天纷飞的银杏森林
他说,包含意象,[]
他说,核心情感,"['讽刺', '自嘲']"
他说,风格标签,"['重复结构', '口语化', '矛盾修辞']"
他说,歌曲主题,['自省']
陈珊妮,演唱,他说
少年,包含意象,"['模板', '拳头', '中指', '眼神']"
少年,核心情感,"['疏离的憧憬', '倨傲的困惑', '释然的锋芒']"
少年,风格标签,"['排比复沓', '悖论修辞', '身体意象的抽象化']"
少年,歌曲主题,['成长']
陈珊妮,演唱,少年
恶习,包含意象,['斗鱼']
恶习,核心情感,"['疏离', '自嘲']"
恶习,风格标签,"['生活白描', '口语叙事']"
恶习,歌曲主题,['爱情']
陈珊妮,演唱,恶习
6月29日,包含意象,"['越洋电话', '6月29日', '坏习惯', '逛街', '约会']"
6月29日,核心情感,"['克制疏离', '决绝成长', '平淡期许']"
6月29日,风格标签,"['极简叙事', '重复递进', '冷静独白']"
6月29日,歌曲主题,['情感割舍']
陈珊妮,演唱,6月29日
破碎的人,包含意象,"['百叶窗', '全家福', '龟裂的墙', '发票', '单人床', '复仇者', '黄色太阳', '小气窗', '暗巷']"
破碎的人,核心情感,"['阴郁', '创伤', '自我毁灭']"
破碎的人,风格标签,"['具象冷峻', '蒙太奇意象', '心理揭露']"
破碎的人,歌曲主题,['心理创伤']
陈珊妮,演唱,破碎的人
访客,包含意象,"['东窗', '地址', '访客']"
访客,核心情感,"['脆弱伪饰', '虚妄慰藉']"
访客,风格标签,"['冷冽叙事', '私密对话']"
访客,歌曲主题,['亲密关系']
陈珊妮,演唱,访客
痛瘾,包含意象,['盗版品']
痛瘾,核心情感,"['自我分裂', '矛盾自省', '挣扎无力']"
痛瘾,风格标签,"['内心独白', '比喻象征', '结构重复']"
痛瘾,歌曲主题,['自我矛盾']
陈珊妮,演唱,痛瘾
苹果花,包含意象,[]
苹果花,核心情感,"['迷恋', '虚幻感', '魅惑']"
苹果花,风格标签,"['复沓结构', '感官意象']"
苹果花,歌曲主题,['爱情']
陈珊妮,演唱,苹果花
他是末日预言中的宇宙碎片,包含意象,"['冰岛', '稀有气体', '小行星']"
他是末日预言中的宇宙碎片,核心情感,"['疏离感', '悬浮感']"
他是末日预言中的宇宙碎片,风格标签,"['超现实主义', '拼贴叙事']"
他是末日预言中的宇宙碎片,歌曲主题,['自我探寻']
陈珊妮,演唱,他是末日预言中的宇宙碎片
启示路,包含意象,[]
启示路,核心情感,"['内省沉思', '忧虑探寻']"
启示路,风格标签,"['对话体', '排比修辞']"
启示路,歌曲主题,['人生感悟']
陈珊妮,演唱,启示路
雨季,包含意象,"['伞', '客厅', '角落']"
雨季,核心情感,"['怅惘', '怀念']"
雨季,风格标签,"['抒情叙事', '意象白描']"
雨季,歌曲主题,['爱情']
陈珊妮,演唱,雨季
电车上的情侣,包含意象,['睫毛']
电车上的情侣,核心情感,"['疏离的温情', '克制的眷恋']"
电车上的情侣,风格标签,"['重复与变奏', '冷静叙事']"
电车上的情侣,歌曲主题,['爱情']
陈珊妮,演唱,电车上的情侣
穿你穿过的衣服,包含意象,[]
穿你穿过的衣服,核心情感,"['沉溺式感伤', '偏执性哀愁']"
穿你穿过的衣服,风格标签,"['物哀美学', '私密叙事', '极简主义']"
穿你穿过的衣服,歌曲主题,['爱情']
陈珊妮,演唱,穿你穿过的衣服
那日下午,包含意象,['废墟']
那日下午,核心情感,"['生命忧思', '沉郁眷恋']"
那日下午,风格标签,"['对话体', '极简主义', '重复修辞']"
那日下午,歌曲主题,['爱情']
陈珊妮,演唱,那日下午
静电,包含意象,['花火']
静电,核心情感,"['疏离的沉溺', '暧昧的疏离']"
静电,风格标签,"['当代意象', '含蓄内敛']"
静电,歌曲主题,['情感状态']
陈珊妮,演唱,静电
秘密,包含意象,[]
秘密,核心情感,"['焦虑压抑', '理性倦怠']"
秘密,风格标签,"['顶真修辞', '抽象思辨']"
秘密,歌曲主题,['心理主题']
陈珊妮,演唱,秘密
黄色女孩,包含意象,"['面包皮', '热狗', '芥末酱', '照片']"
黄色女孩,核心情感,['解构迷惘']
黄色女孩,风格标签,['意象解构']
黄色女孩,歌曲主题,['身份认同']
陈珊妮,演唱,黄色女孩
呻吟,包含意象,['内衣']
呻吟,核心情感,"['病态沉溺', '矛盾宣泄']"
呻吟,风格标签,"['疾病隐喻', '直白露骨']"
呻吟,歌曲主题,['情欲']
陈珊妮,演唱,呻吟
罪美,包含意象,"['裙摆', '镜头', '浮世绘', '假货', '重口味', '献祭']"
罪美,核心情感,"['反讽', '疏离', '冷冽']"
罪美,风格标签,"['句式复沓', '用词大胆', '知识分子视角']"
罪美,歌曲主题,['社会议题']
陈珊妮,演唱,罪美
贫血,包含意象,"['星星', '眼睛']"
贫血,核心情感,"['忧郁', '执迷']"
贫血,风格标签,"['循环结构', '白描手法']"
贫血,歌曲主题,['爱情']
陈珊妮,演唱,贫血
低调人生,包含意象,"['对号锁', '烟', '摇滚乐']"
低调人生,核心情感,"['疏离', '自省', '倦怠']"
低调人生,风格标签,"['冷叙述', '比喻修辞', '书面语体']"
低调人生,歌曲主题,['人生哲思']
陈珊妮,演唱,低调人生
一个人,包含意象,[]
一个人,核心情感,"['冷峻洞察', '倦怠疏离']"
一个人,风格标签,['议论式剖析']
一个人,歌曲主题,['内心独白']
陈珊妮,演唱,一个人
窗户上的猫咪很无聊,包含意象,"['猫咪', '窗户', '安眠药', '电视']"
窗户上的猫咪很无聊,核心情感,"['疏离', '戏谑']"
窗户上的猫咪很无聊,风格标签,"['口语叙事', '黑色幽默', '重复结构']"
窗户上的猫咪很无聊,歌曲主题,['日常观察']
陈珊妮,演唱,窗户上的猫咪很无聊
如同悲伤被下载了两次,包含意象,"['装帧', '白纸黑字', '三行诗', '灰尘', '云端', '宇宙']"
如同悲伤被下载了两次,核心情感,"['疏离', '反讽', '自省']"
如同悲伤被下载了两次,风格标签,"['数字意象', '文学指涉', '隐喻表达']"
如同悲伤被下载了两次,歌曲主题,['时代反思']
陈珊妮,演唱,如同悲伤被下载了两次
演歌,包含意象,['罪人的眼眶']
演歌,核心情感,"['哀婉', '自嘲']"
演歌,风格标签,"['叙事性', '戏剧化对仗']"
演歌,歌曲主题,['爱情']
陈珊妮,演唱,演歌
少女,包含意象,"['花', '盛夏', '香']"
少女,核心情感,"['自我厌弃', '迷失', '渴求认同']"
少女,风格标签,"['拼贴手法', '直接对话', '意象解构']"
少女,歌曲主题,['成长']
陈珊妮,演唱,少女
出轨,包含意象,['钢索']
出轨,核心情感,"['自省与矛盾', '冷漠疏离']"
出轨,风格标签,"['成语化用', '内心独白', '冷比喻']"
出轨,歌曲主题,['情感关系']
陈珊妮,演唱,出轨
幻觉,包含意象,"['烟味', '夜晚', '幻觉', '泪水']"
幻觉,核心情感,"['沉溺', '偏执']"
幻觉,风格标签,"['叠句强化', '内心独白式', '白描直叙']"
幻觉,歌曲主题,['爱情']
陈珊妮,演唱,幻觉
夜色,包含意象,['烛光']
夜色,核心情感,"['伪饰', '隐痛', '倦怠', '沉溺']"
夜色,风格标签,"['冷冽叙事', '场景切片', '口语化铺陈']"
夜色,歌曲主题,['爱情']
陈珊妮,演唱,夜色
不要不要,包含意象,[]
不要不要,核心情感,"['犹豫不决', '矛盾心理']"
不要不要,风格标签,"['抽象呢喃', '数学诗意', '极简对话体']"
不要不要,歌曲主题,['内心挣扎']
陈珊妮,演唱,不要不要
离别曲,包含意象,"['摇滚乐', '跳舞音乐', '粉红的花', '粉红的妆', '七月底的阳光', '吻痕', '清秀长发']"
离别曲,核心情感,"['青春逝惘', '戏谑反讽']"
离别曲,风格标签,"['具象白描', '古典与流行互文', '私语回忆录']"
离别曲,歌曲主题,['怀旧']
陈珊妮,演唱,离别曲
那不是我唯一能做的,包含意象,[]
那不是我唯一能做的,核心情感,['压抑讽刺']
那不是我唯一能做的,风格标签,['抽象反讽']
那不是我唯一能做的,歌曲主题,['社会批判']
陈珊妮,演唱,那不是我唯一能做的
载我回家,包含意象,"['车子', '位子', '城市', '手指', '音乐', '火']"
载我回家,核心情感,"['无奈隐忍', '疏离内省']"
载我回家,风格标签,"['叙事抒情', '简约意象', '心理白描']"
载我回家,歌曲主题,['内心独白']
陈珊妮,演唱,载我回家
爱人有问题,包含意象,['镜子']
爱人有问题,核心情感,"['疏离剖析', '爱之疑惧']"
爱人有问题,风格标签,"['诊断式罗列', '心理白描']"
爱人有问题,歌曲主题,['爱情']
陈珊妮,演唱,爱人有问题
战神卡尔迪亚,包含意象,"['石头', '裂缝', '烟火']"
战神卡尔迪亚,核心情感,"['焦灼矛盾', '沉郁抗争']"
战神卡尔迪亚,风格标签,"['冷峻抽象', '文学隐喻']"
战神卡尔迪亚,歌曲主题,['自我抗争']
陈珊妮,演唱,战神卡尔迪亚
No Fear In My Heart,包含意象,"['悬崖', '深渊', '泥土', '草原', '马', '海阔天空']"
No Fear In My Heart,核心情感,"['决绝', '涅槃', '释然']"
No Fear In My Heart,风格标签,"['意象对比', '自白体', '口语化呼告']"
No Fear In My Heart,歌曲主题,['自我突破']
朴树,演唱,No Fear In My Heart
火车开往冬天,包含意象,['镰刀']
火车开往冬天,核心情感,"['眷恋与疲惫', '孤寂的漂泊']"
火车开往冬天,风格标签,['叠词营造节奏']
火车开往冬天,歌曲主题,['离别远行']
朴树,演唱,火车开往冬天
生如夏花,包含意象,"['夏花', '火焰', '荆棘', '春光']"
生如夏花,核心情感,"['绚烂易逝', '生命礼赞']"
生如夏花,风格标签,"['比喻丰富', '排比复沓', '诗化语言']"
生如夏花,歌曲主题,['生命']
朴树,演唱,生如夏花
在木星,包含意象,"['白发', '明月', '沧浪之江', '船', '帆']"
在木星,核心情感,"['沧桑顿悟', '归乡渴盼']"
在木星,风格标签,"['新古典意象', '比喻造境']"
在木星,歌曲主题,['人生归宿']
朴树,演唱,在木星
在希望的田野上,包含意象,[]
在希望的田野上,核心情感,"['慰藉', '释然']"
在希望的田野上,风格标签,"['重复修辞', '口语化表达']"
在希望的田野上,歌曲主题,['希望']
朴树,演唱,在希望的田野上
且听风吟,包含意象,[]
且听风吟,核心情感,"['伤逝感怀', '迷惘苍凉']"
且听风吟,风格标签,['诗意隐喻']
且听风吟,歌曲主题,['时光感怀']
朴树,演唱,且听风吟
平凡之路,包含意象,"['山和大海', '人山人海', '野草野花']"
平凡之路,核心情感,"['沉静坦然', '清醒释怀', '接纳归一']"
平凡之路,风格标签,"['排比复沓', '宏大具象', '人生哲思', '质朴叙事']"
平凡之路,歌曲主题,['人生感悟']
朴树,演唱,平凡之路
旅途,包含意象,"['孩子', '气球', '花园', '山谷']"
旅途,核心情感,"['疏离感', '命运感', '追忆']"
旅途,风格标签,"['叙事性作词', '象征主义', '诗意抽象']"
旅途,歌曲主题,['人生']
朴树,演唱,旅途
new boy,包含意象,"['老怀表', '旧皮鞋', '未来牌香烟', '奔腾电脑', 'WINDOWS98', '18岁']"
new boy,核心情感,"['愉悦憧憬', '世纪之交期盼']"
new boy,风格标签,"['千禧年科技意象', '白话叙事', '未来主义展望']"
new boy,歌曲主题,['世纪欢歌']
朴树,演唱,new boy
猎户星座,包含意象,"['迷宫', '彩虹']"
猎户星座,核心情感,"['怅惘迷离', '超脱释然']"
猎户星座,风格标签,"['诗意隐喻', '哲思排比']"
猎户星座,歌曲主题,['人生']
朴树,演唱,猎户星座
白桦林,包含意象,"['白桦树', '鸽子']"
白桦林,核心情感,"['悲怆', '坚贞']"
白桦林,风格标签,"['叙事民谣', '意象复沓']"
白桦林,歌曲主题,['爱情']
朴树,演唱,白桦林
甚么事都叫我分心,包含意象,['pines']
甚么事都叫我分心,核心情感,"['迷茫困顿', '自省焦虑']"
甚么事都叫我分心,风格标签,"['内心独白', '双语交织', '复沓结构']"
甚么事都叫我分心,歌曲主题,['内心探索']
Tizzy Bac,演唱,甚么事都叫我分心
狂恋,包含意象,"['流星', '梦境', '焰火']"
狂恋,核心情感,"['执着', '献祭感', '炽热']"
狂恋,风格标签,"['传统抒情结构', '情感直抒', '第二人称叙事']"
狂恋,歌曲主题,['爱情']
Tizzy Bac,演唱,狂恋
田纳西恰恰,包含意象,"['Tennessee', '冬夜', '回音', '枷锁']"
田纳西恰恰,核心情感,"['困顿', '幻灭', '沉郁']"
田纳西恰恰,风格标签,['阴郁叙事']
田纳西恰恰,歌曲主题,['爱情']
Tizzy Bac,演唱,田纳西恰恰
马男之歌,包含意象,"['霓虹灯', '烟头', '长梦', '镜头']"
马男之歌,核心情感,"['无奈', '无力', '自我疏离']"
马男之歌,风格标签,"['叙事性', '具象隐喻', '内向独白']"
马男之歌,歌曲主题,['情感告别']
Tizzy Bac,演唱,马男之歌
如果看见地狱，我就不怕魔鬼,包含意象,"['魔鬼', '墙角', '恒星', '宇宙']"
如果看见地狱，我就不怕魔鬼,核心情感,"['存在性焦虑', '孤绝恐惧', '疏离性抑郁']"
如果看见地狱，我就不怕魔鬼,风格标签,"['内心独白', '隐喻书写', '戏剧化呼告']"
如果看见地狱，我就不怕魔鬼,歌曲主题,['内心探索']
Tizzy Bac,演唱,如果看见地狱，我就不怕魔鬼
周日午后的妇女时间,包含意象,"['英式烤牛肉', '鼠尾草盐', '草莓trifle', '巴拉松']"
周日午后的妇女时间,核心情感,"['尖刻讽喻', '苦涩自嘲']"
周日午后的妇女时间,风格标签,"['具象隐喻', '黑色幽默', '节目旁白体']"
周日午后的妇女时间,歌曲主题,['女性主题']
Tizzy Bac,演唱,周日午后的妇女时间
Human Error,包含意象,"['躯壳', '血色', '冬夜']"
Human Error,核心情感,"['宿命感', '灼痛', '存在之思']"
Human Error,风格标签,"['哲思意象化', '内心独白式', '结构推进与复调']"
Human Error,歌曲主题,['存在主义']
Tizzy Bac,演唱,Human Error
我不小心,包含意象,"['风花雪月', '负累']"
我不小心,核心情感,"['情感倦怠', '疏离决绝']"
我不小心,风格标签,"['直白剖析', '内心独白', '简洁有力']"
我不小心,歌曲主题,['爱情']
Tizzy Bac,演唱,我不小心
You'll See,包含意象,[]
You'll See,核心情感,"['隐忍悲悯', '内省伤感']"
You'll See,风格标签,"['双语交织', '内心独白']"
You'll See,歌曲主题,['情感关系']
Tizzy Bac,演唱,You'll See
朝我心脏开枪,包含意象,"['高墙', '恒星']"
朝我心脏开枪,核心情感,"['不屈', '自证']"
朝我心脏开枪,风格标签,"['结构复沓', '隐喻写作']"
朝我心脏开枪,歌曲主题,['抗争']
Tizzy Bac,演唱,朝我心脏开枪
铁之贝克,包含意象,"['驾驶座', '战斗机', '沙尘', '轰炸', '终战纪念']"
铁之贝克,核心情感,['悲壮自毁']
铁之贝克,风格标签,"['军事隐喻', '叙事性']"
铁之贝克,歌曲主题,['失去']
Tizzy Bac,演唱,铁之贝克
我又再度依恋上昨天,包含意象,"['地平线', '翅膀', '影子', '海洋', '陷阱', '堤防']"
我又再度依恋上昨天,核心情感,"['怀旧', '迷惘', '疲惫', '执拗']"
我又再度依恋上昨天,风格标签,"['诗意隐喻', '忧郁氛围', '结构回环']"
